Rank,IDE,Usage Percentage
1,Visual Studio Code,31%
2,Visual Studio,23%
3,IntelliJ IDEA,16%
4,PyCharm,9%
5,Eclipse,7%
6,Android Studio,6%
7,NetBeans,3%
8,Xcode,3%
9,Atom,2%
10,Sublime Text,2%
11,PhpStorm,2%
12,Rider,1%
13,WebStorm,1%
14,RubyMine,<1%
15,Jupyter Notebooks,<1%
16,Spyder,<1%
17,Replit,<1%
18,CLion,<1%
19,Code::Blocks,<1%
20,AppCode,<1%
21,Qt Creator,<1%
22,KDevelop,<1%
23,BlueJ,<1%
24,Geany,<1%
25,LiteIDE,<1%
26,Thonny,<1%
27,Wing IDE,<1%
28,Komodo Edit,<1%
29,Brackets,<1%
30,JetBrains Fleet,<1%
